instruction,name,description
can ya help me to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i dont want order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
could you help me to cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
have problems wth cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need help with cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i dont want this artilce cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I cannot afford order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
need help with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I try to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
"I bought some article, help canceling order {{Order Number}}",Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me cancelling oredr {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help  with cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me cancelling order {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i dont want purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
canmcel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help cancelling my bloody purchase,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
assistance cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
can you help me to cancel order {{Order Number}} ?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
is it possible to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
canceling order,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
problems with cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
what do I have to do to cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want help cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i want help canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want assistance to cancle purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i do not know how to cancel purchasw {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
question about cancelling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
help me cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i dont want purchase {{Order Number}} could i cancel it,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i obught some item help me canceling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I'm trying to cancel purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
problems with canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
canceling purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
i dont khow how to cancel order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I need assistance cancelling order {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
how can I cancel purchase {{Order Number}}?,Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I can no longer afford purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
I want help to cancle purchase {{Order Number}},Order Cancellation Requests,[Customers are asking for help cancelling their orders.]
